CABANG,PROPINSI,NO ORDER,TANGGAL,SUMBER,SERIES,HARGA JUAL,DISKON,JENIS BAYAR
FKH SALATIGA,JAWATENGAH,BTDSLG220500120,2022-05-30,OFFLINE,VARIO 125,23090000,0,KREDIT
FKH SOLO,JAWATENGAH,BTDSLO220500108,2022-05-28,OFFLINE,PCX160,32110000,0,KREDIT
FKH GOMBONG,JAWATENGAH,BTDGBG220500006,2022-05-29,OFFLINE,VARIO 160,27320000,0,KREDIT
FKH DEMAK,JAWATENGAH,BTDDMK220500153,2022-05-30,OFFLINE,VARIO 125,24000000,285000,KREDIT
FKH GRABAG,JAWATENGAH,BTDGRA220500004,2022-05-30,OFFLINE,VARIO 125,24040000,0,KREDIT
FKH KARANGMOJO,DAERAHISTIMEWAYOGYAK,BTDKRM220500004,2022-05-30,OFFLINE,VARIO 125,23210000,0,KREDIT
FKH SOLO,JAWATENGAH,BTDSLO220500110,2022-05-28,OFFLINE,GENIO,20075000,0,KREDIT
FKH BANJARSARI,JAWATENGAH,BTDBAJ220500029,2022-05-31,OFFLINE,BEAT,18870000,0,KREDIT
FKH DEMAK,JAWATENGAH,BTDDMK220400217,2022-05-30,OFFLINE,PCX160,35400000,0,KREDIT
FKH BUMIAYU,JAWATENGAH,BTDBMA220500035,2022-05-29,OFFLINE,VARIO 160,29850000,0,KREDIT
FKH BREBES,JAWATENGAH,BTDBBS220500007,2022-05-30,OFFLINE,BEAT,18870000,0,KREDIT
FKH DEMPET,JAWATENGAH,BTDDPT220400035,2022-05-30,OFFLINE,BEAT,18870000,0,KREDIT
FKH DEMPET,JAWATENGAH,BTDDPT220500016,2022-05-29,OFFLINE,PCX160,32110000,0,KREDIT
FKH DEMAK,JAWATENGAH,BTDDMK220500118,2022-05-28,OFFLINE,BEAT,18870000,0,KREDIT
FKH PURWOKERTO,JAWATENGAH,BTDPWT220500139,2022-05-28,OFFLINE,BEAT,19585000,0,KREDIT
FKH CONDONGCATUR,DAERAHISTIMEWAYOGYAK,BTDCDC220500015,2022-05-30,OFFLINE,BEAT,18885000,0,KREDIT
FKH YOGYAKARTA,DAERAHISTIMEWAYOGYAK,BTDYOG220500244,2022-05-28,OFFLINE,GENIO,19325000,0,KREDIT
FKH BANJARSARI,JAWATENGAH,BTDBAJ220500032,2022-05-30,OFFLINE,VARIO 160,29850000,0,KREDIT
FKH PURWOREJO KLAMPOK,JAWATENGAH,BTDPRK220400012,2022-05-30,OFFLINE,VARIO 125,23120000,0,KREDIT
FKH SIDAREJA,JAWATENGAH,BTDSDR220500039,2022-05-30,OFFLINE,BEAT,19585000,0,KREDIT
FKH GAYAMSARI,JAWATENGAH,BTDGYM220500032,2022-05-31,OFFLINE,VARIO 160,26800000,0,KREDIT
FKH BUMIAYU,JAWATENGAH,BTDBMA220500036,2022-05-29,OFFLINE,VARIO 160,26800000,0,KREDIT
FKH CILACAP,JAWATENGAH,BTDCLP220500091,2022-05-31,OFFLINE,VARIO 160,27320000,850000,KREDIT
FKH GUMOLONG,JAWATENGAH,BTDGUM220400044,2022-05-29,OFFLINE,PCX160,35400000,0,KREDIT
FKH NGUTER,JAWATENGAH,BTDNGT220500149,2022-05-30,OFFLINE,PCX160,32110000,0,KREDIT
FKH BULUS PESANTREN,JAWATENGAH,BTDBSP220500005,2022-05-30,ONLINE,BEAT,19585000,0,KREDIT
FKH BULAKAMBA,JAWATENGAH,BTDBUL220500002,2022-05-31,OFFLINE,VARIO 125,23090000,0,KREDIT
FKH GONDANGREJO,JAWATENGAH,BTDGDR220500011,2022-05-30,OFFLINE,VARIO 125,24000000,0,KREDIT
FKH GONDANG,JAWATENGAH,BTDGDG220400024,2022-05-30,OFFLINE,VARIO 125,24000000,0,KREDIT
FKH KARANGANYAR,JAWATENGAH,BTDKRY220500013,2022-05-30,OFFLINE,PCX160,35400000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500264,2022-05-30,OFFLINE,VARIO 125,23860000,0,KREDIT
FKH JETIS,DAERAHISTIMEWAYOGYAK,BTDJTI220500005,2022-05-30,ONLINE,VARIO 160,26450000,0,KREDIT
FKH SALATIGA,JAWATENGAH,BTDSLG220500116,2022-05-30,OFFLINE,BEAT,18870000,0,KREDIT
FKH SALATIGA,JAWATENGAH,BTDSLG220500127,2022-05-30,OFFLINE,BEAT,18870000,0,KREDIT
FKH SIDAREJA,JAWATENGAH,BTDSDR220300050,2022-05-30,OFFLINE,BEAT,19585000,0,KREDIT
FKH MANYARAN,JAWATENGAH,BTDMNY220500018,2022-05-30,OFFLINE,BEAT,18870000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500238,2022-05-30,OFFLINE,VARIO 125,24000000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500193,2022-05-30,ONLINE,VARIO 125,24000000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500325,2022-05-31,OFFLINE,VARIO 125,23860000,0,KREDIT
FKH NGUTER,JAWATENGAH,BTDNGT220500150,2022-05-30,ONLINE,BEAT,18870000,0,KREDIT
FKH GAJAHMUNGKUR,JAWATENGAH,BTDGJM220500009,2022-05-30,ONLINE,PCX160,35400000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500337,2022-05-31,OFFLINE,VARIO 125,24000000,0,KREDIT
FKH BERBAH,DAERAHISTIMEWAYOGYAK,BTDBER220500077,2022-05-30,OFFLINE,VARIO 125,22310000,0,KREDIT
FKH PAGUYANGAN,JAWATENGAH,BTDPGY220500007,2022-05-30,OFFLINE,VARIO 125,23090000,0,KREDIT
FKH DEMAK,JAWATENGAH,BTDDMK220500096,2022-05-30,OFFLINE,PCX160,32110000,0,KREDIT
FKH WONOSARI,DAERAHISTIMEWAYOGYAK,BTDWNS220500037,2022-05-30,OFFLINE,VARIO 125,23210000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500331,2022-05-31,OFFLINE,VARIO 160,26800000,0,KREDIT
FKH DEMAK,JAWATENGAH,BTDDMK220500164,2022-05-30,OFFLINE,VARIO 160,29850000,250000,KREDIT
